date,revenue_scaled
2020-10-03,149271.98
2020-10-04,143386.95
2020-10-05,137571.16
2020-10-06,152629.90
2020-10-07,128293.59
2020-10-08,137778.87
2020-10-09,103334.15
2020-10-10,128916.71
2020-10-11,120054.55
2020-10-12,133555.49
2020-10-13,120227.64
2020-10-14,138159.66
2020-10-15,109599.97
2020-10-16,83151.97
2020-10-17,124762.57
2020-10-18,126147.28
2020-10-19,114481.08
2020-10-20,153149.17
2020-10-21,136186.45
2020-10-22,142313.80
2020-10-23,100980.14
2020-10-24,114169.52
2020-10-25,138035.04
2020-10-26,141240.65
2020-10-27,134732.50
2020-10-28,123724.04
2020-10-29,110638.51
2020-10-30,94922.02
2020-10-31,162011.33
2020-11-01,128535.91
2020-11-02,142583.82
2020-11-03,152456.81
2020-11-04,141448.35
2020-11-05,141586.82
2020-11-06,122339.32
2020-11-07,159138.05
2020-11-08,155018.53
2020-11-09,164330.72
2020-11-10,129297.50
2020-11-11,130578.36
2020-11-12,155157.00
2020-11-13,94402.76
2020-11-14,130716.83
2020-11-15,138194.28
2020-11-16,120539.20
2020-11-17,123931.74
2020-11-18,122304.71
2020-11-19,148579.62
2020-11-20,100599.34
2020-11-21,128328.20
2020-11-22,170908.10
2020-11-23,107799.85
2020-11-24,116108.12
2020-11-25,126147.28
2020-11-26,131616.90
2020-11-27,110430.80
2020-11-28,127393.52
2020-11-29,132482.34
2020-11-30,121162.32
2020-12-01,126978.11
2020-12-02,117769.77
2020-12-03,127670.47
2020-12-04,75674.52
2020-12-05,116696.62
2020-12-06,102641.79
2020-12-07,90387.09
2020-12-08,113754.11
2020-12-09,101568.64
2020-12-10,85748.30
2020-12-11,70758.79
2020-12-12,121577.73
2020-12-13,157995.66
2020-12-14,147298.76
2020-12-15,110223.09
2020-12-16,122997.06
2020-12-17,109599.97
2020-12-18,110015.39
2020-12-19,111469.33
2020-12-20,102987.97
2020-12-21,117804.39
2020-12-29,104511.15
2020-12-30,101984.05
2020-12-31,114342.61
2021-01-01,83013.50
2021-01-02,112140.92
2021-01-03,184443.67
2021-01-04,112196.31
2021-01-05,106795.93
2021-01-06,134663.26
2021-01-07,100807.05
2021-01-08,97206.80
2021-01-09,124277.92
2021-01-10,109392.26
2021-01-11,118462.13
2021-01-12,114965.73
2021-01-13,114751.10
2021-01-14,117839.01
2021-01-15,95441.29
2021-01-16,135978.74
2021-01-17,99906.99
2021-01-18,133555.49
2021-01-19,91702.57
2021-01-20,117388.98
2021-01-21,115415.76
2021-01-22,81282.61
2021-01-23,113061.75
2021-01-24,115208.06
2021-01-25,133693.96
2021-01-26,146156.37
2021-01-27,114031.05
2021-01-28,113165.61
2021-01-29,79517.10
2021-01-30,106692.08
2021-01-31,98072.24
2021-02-01,110984.68
2021-02-09,112507.87
2021-02-10,109288.41
2021-02-11,124277.92
2021-02-12,80070.98
2021-02-13,119362.19
2021-02-14,116108.12
2021-02-15,106207.43
2021-02-16,91667.95
2021-02-17,115069.58
